bs,method,average_kernel
64,0,0.041955
128,0,0.041458
256,0,0.041512
512,0,0.042412
1024,0,0.043382
64,1,0.031038
128,1,0.029369
256,1,0.027511
512,1,0.025113
1024,1,0.028706
64,2,0.003751
128,2,0.003008
256,2,0.003016
512,2,0.003059
1024,2,0.003384
64,3,0.036441
128,3,0.036362
256,3,0.036069
512,3,0.036479
1024,3,0.047151
64,4,0.018688
128,4,0.018108
256,4,0.017711
512,4,0.017691
1024,4,0.021189
64,5,0.008018
128,5,0.006521
256,5,0.006752
512,5,0.007220
1024,5,0.010932
64,6,0.078400
128,6,0.074141
256,6,0.154442
512,6,0.268264
1024,6,0.893280
64,7,0.032764
128,7,0.028663
256,7,0.058428
512,7,0.094257
1024,7,0.280060
64,8,0.007981
128,8,0.007375
256,8,0.011697
512,8,0.016851
1024,8,0.042736
